startTime,call,completionItemsCount,isComplete,endTime,duration
1574600383121,this.canvas.,70,false,1574600383125,4
1574600383126,this.canvas.clearContext.,70,false,1574600383132,6
1574600383132,this.canvas.,70,false,1574600383137,5
1574600383137,this.canvas.contextTop.,70,false,1574600383142,5
1574600383143,this.canvas.,70,false,1574600383147,4
1574600383148,this._resetShadow.,69,false,1574600383152,4
1574600383152,this.canvas.renderOnAddRemove.,70,false,1574600383160,8
1574600383161,this.canvas.,70,false,1574600383165,4
1574600383165,this.canvas.requestRenderAll.,69,false,1574600383170,5
1574600383170,this.canvas.,70,false,1574600383175,5
1574600383175,fabric.Point.,70,false,1574600383180,5
1574600383180,pointer.x.,70,false,1574600383184,4
1574600383185,pointer.y.,70,false,1574600383190,5
1574600383190,fabric.util.getRandomInt.,70,false,1574600383195,5
1574600383196,fabric.util.,70,false,1574600383203,7
1574600383203,Math.max.,94,false,1574600383217,14
1574600383217,this.width.,70,false,1574600383224,7
1574600383224,this.width.,70,false,1574600383231,7
1574600383235,"new fabric.Color(this.color)
          .setAlpha(fabric.util.getRandomInt(0, 100) / 100)
          .toRgba.",69,false,1574600383245,10
1574600383245,"new fabric.Color(this.color)
          .setAlpha.",69,false,1574600383250,5
1574600383251,fabric.Color.,69,false,1574600383259,8
1574600383259,this.color.,69,false,1574600383264,5
1574600383265,fabric.util.getRandomInt.,70,false,1574600383273,8
1574600383273,fabric.util.,70,false,1574600383281,8
1574600383282,pointerPoint.radius.,70,false,1574600383287,5
1574600383287,pointerPoint.fill.,70,false,1574600383292,5
1574600383292,this.points.push.,70,false,1574600383298,6
1574600383306,fabric.PatternBrush.,46,false,1574600383342,36
1574600383342,fabric.util.createClass.,46,false,1574600383350,8
1574600383350,fabric.util.,47,false,1574600383356,6
1574600383356,fabric.PencilBrush.,46,false,1574600383363,7
1574600383363,fabric.util.createCanvasElement.,46,false,1574600383374,11
1574600383375,fabric.util.,47,false,1574600383380,5
1574600383381,patternCanvas.getContext.,46,false,1574600383386,5
1574600383386,patternCanvas.width.,46,false,1574600383391,5
1574600383391,patternCanvas.height.,46,false,1574600383398,7
1574600383398,patternCtx.fillStyle.,46,false,1574600383402,4
1574600383403,this.color.,47,false,1574600383408,5
1574600383408,patternCtx.beginPath.,46,false,1574600383412,4
1574600383412,patternCtx.arc.,46,false,1574600383416,4
1574600383416,Math.PI.,72,false,1574600383426,10
1574600383426,patternCtx.closePath.,46,false,1574600383430,4
1574600383431,patternCtx.fill.,46,false,1574600383435,4
1574600383435,String(this.getPatternSrc).replace.,67,false,1574600383445,10
1574600383446,this.getPatternSrc.,47,false,1574600383450,4
1574600383450,this.color.,47,false,1574600383454,4
1574600383455,this.canvas.contextTop.createPattern.,46,false,1574600383459,4
1574600383460,this.canvas.contextTop.,47,false,1574600383464,4
1574600383464,this.canvas.,47,false,1574600383468,4
1574600383468,this.source.,47,false,1574600383473,5
1574600383473,this.getPatternSrc.,47,false,1574600383477,4
1574600383477,this.callSuper.,47,false,1574600383482,5
1574600383482,this.canvas.contextTop.strokeStyle.,46,false,1574600383487,5
1574600383487,this.canvas.contextTop.,47,false,1574600383491,4
1574600383492,this.canvas.,47,false,1574600383496,4
1574600383496,this.getPattern.,47,false,1574600383503,7
1574600383504,this.callSuper.,47,false,1574600383508,4
1574600383509,path._getLeftTopCoords().scalarAdd.,46,false,1574600383514,5
1574600383514,path._getLeftTopCoords.,46,false,1574600383518,4
1574600383518,path.strokeWidth.,46,false,1574600383522,4
1574600383523,path.stroke.,46,false,1574600383527,4
1574600383527,fabric.Pattern.,46,false,1574600383532,5
1574600383533,this.source.,47,false,1574600383537,4
1574600383537,this.getPatternSrcFunction.,47,false,1574600383544,7
1574600383544,topLeft.x.,46,false,1574600383549,5
1574600383590,fabric.PencilBrush.,96,false,1574600383704,114
1574600383704,fabric.util.createClass.,95,false,1574600383711,7
1574600383711,fabric.util.,95,false,1574600383716,5
1574600383716,fabric.BaseBrush.,96,false,1574600383722,6
1574600383723,this.canvas.,96,false,1574600383731,8
1574600383731,this._points.,96,false,1574600383737,6
1574600383737,p1.midPointFrom.,96,false,1574600383742,5
1574600383742,ctx.quadraticCurveTo.,95,false,1574600383748,6
1574600383749,p1.x.,96,false,1574600383754,5
1574600383754,p1.y.,96,false,1574600383760,6
1574600383760,midPoint.x.,96,false,1574600383767,7
1574600383767,midPoint.y.,96,false,1574600383774,7
1574600383775,this.canvas._isMainEvent.,96,false,1574600383782,7
1574600383782,this.canvas.,96,false,1574600383791,9
1574600383791,options.e.,96,false,1574600383796,5
1574600383796,this._prepareForDrawing.,96,false,1574600383803,7
1574600383804,this._captureDrawingPath.,96,false,1574600383812,8
1574600383812,this._render.,96,false,1574600383820,8
1574600383820,this.canvas._isMainEvent.,96,false,1574600383829,9
1574600383830,this.canvas.,96,false,1574600383837,7
1574600383837,options.e.,96,false,1574600383845,8
1574600383845,this._captureDrawingPath.,96,false,1574600383852,7
1574600383853,this._points.length.,96,false,1574600383860,7
1574600383860,this._points.,96,false,1574600383869,9
1574600383869,this.needsFullRender.,95,false,1574600383875,6
1574600383875,this.canvas.clearContext.,96,false,1574600383881,6
1574600383881,this.canvas.,96,false,1574600383888,7
1574600383888,this.canvas.contextTop.,96,false,1574600383898,10
1574600383898,this.canvas.,96,false,1574600383903,5
1574600383903,this._render.,96,false,1574600383909,6
1574600383909,this._points.,96,false,1574600383915,6
1574600383915,points.length.,96,false,1574600383922,7
1574600383922,this.canvas.contextTop.,96,false,1574600383930,8
1574600383931,this.canvas.,96,false,1574600383939,8
1574600383939,this._saveAndTransform.,96,false,1574600383948,9
1574600383948,this.oldEnd.,96,false,1574600383956,8
1574600383956,ctx.beginPath.,96,false,1574600383967,11
1574600383967,ctx.moveTo.,96,false,1574600383976,9
1574600383976,this.oldEnd.x.,96,false,1574600383985,9
1574600383985,this.oldEnd.,96,false,1574600383993,8
1574600383994,this.oldEnd.y.,96,false,1574600384002,8
1574600384002,this.oldEnd.,96,false,1574600384007,5
1574600384007,this.oldEnd.,96,false,1574600384018,11
1574600384018,this._drawSegment.,96,false,1574600384024,6
1574600384025,ctx.stroke.,96,false,1574600384030,5
1574600384031,ctx.restore.,96,false,1574600384037,6
1574600384037,this.canvas._isMainEvent.,96,false,1574600384041,4
1574600384041,this.canvas.,96,false,1574600384046,5
1574600384046,options.e.,96,false,1574600384050,4
1574600384050,this.oldEnd.,96,false,1574600384056,6
1574600384056,this._finalizeAndAddPath.,96,false,1574600384060,4
1574600384060,fabric.Point.,96,false,1574600384069,9
1574600384070,pointer.x.,96,false,1574600384077,7
1574600384077,pointer.y.,96,false,1574600384082,5
1574600384082,this._reset.,96,false,1574600384086,4
1574600384086,this._addPoint.,96,false,1574600384090,4
1574600384091,this.canvas.contextTop.moveTo.,96,false,1574600384095,4
1574600384095,this.canvas.contextTop.,96,false,1574600384099,4
1574600384099,this.canvas.,96,false,1574600384104,5
1574600384104,p.x.,96,false,1574600384109,5
1574600384109,p.y.,96,false,1574600384114,5
1574600384114,this._points.length.,96,false,1574600384118,4
1574600384119,this._points.,96,false,1574600384123,4
1574600384123,point.eq.,96,false,1574600384127,4
1574600384127,this._points.,96,false,1574600384132,5
1574600384132,this._points.length.,96,false,1574600384136,4
1574600384137,this._points.,96,false,1574600384141,4
1574600384141,this._points.push.,96,false,1574600384148,7
1574600384148,this._points.,96,false,1574600384155,7
1574600384155,this._points.,96,false,1574600384161,6
1574600384162,this._setBrushStyles.,95,false,1574600384168,6
1574600384168,this._setShadow.,95,false,1574600384172,4
1574600384172,fabric.Point.,96,false,1574600384176,4
1574600384177,pointer.x.,96,false,1574600384181,4
1574600384181,pointer.y.,96,false,1574600384185,4
1574600384185,this._addPoint.,96,false,1574600384189,4
1574600384190,this.canvas.contextTop.,96,false,1574600384202,12
1574600384203,this.canvas.,96,false,1574600384209,6
1574600384209,this._points.,96,false,1574600384215,6
1574600384215,this._points.,96,false,1574600384223,8
1574600384223,this._saveAndTransform.,96,false,1574600384229,6
1574600384229,ctx.beginPath.,96,false,1574600384236,7
1574600384236,this._points.length.,96,false,1574600384243,7
1574600384243,this._points.,96,false,1574600384251,8
1574600384252,p1.x.,96,false,1574600384261,9
1574600384261,p2.x.,96,false,1574600384268,7
1574600384268,p1.y.,96,false,1574600384273,5
1574600384274,p2.y.,96,false,1574600384278,4
1574600384278,this.width.,96,false,1574600384285,7
1574600384285,fabric.Point.,96,false,1574600384290,5
1574600384290,p1.x.,96,false,1574600384295,5
1574600384296,p1.y.,96,false,1574600384301,5
1574600384302,fabric.Point.,96,false,1574600384307,5
1574600384307,p2.x.,96,false,1574600384312,5
1574600384312,p2.y.,96,false,1574600384320,8
1574600384320,p1.x.,96,false,1574600384324,4
1574600384325,p2.x.,96,false,1574600384330,5
1574600384330,ctx.moveTo.,96,false,1574600384351,21
1574600384351,p1.x.,96,false,1574600384356,5
1574600384357,p1.y.,96,false,1574600384362,5
1574600384362,this._points.length.,96,false,1574600384367,5
1574600384368,this._points.,96,false,1574600384372,4
1574600384373,this._drawSegment.,96,false,1574600384378,5
1574600384378,this._points.,96,false,1574600384383,5
1574600384383,this._points.,96,false,1574600384388,5
1574600384388,ctx.lineTo.,95,false,1574600384399,11
1574600384399,p1.x.,96,false,1574600384407,8
1574600384407,p1.y.,96,false,1574600384413,6
1574600384414,ctx.stroke.,96,false,1574600384418,4
1574600384418,ctx.restore.,96,false,1574600384423,5
1574600384423,this.width.,96,false,1574600384428,5
1574600384428,fabric.Point.,96,false,1574600384434,6
1574600384435,points[0].x.,96,false,1574600384441,6
1574600384441,points[0].y.,96,false,1574600384447,6
1574600384447,fabric.Point.,96,false,1574600384452,5
1574600384452,points[1].x.,96,false,1574600384457,5
1574600384457,points[1].y.,96,false,1574600384463,6
1574600384463,points.length.,115,false,1574600384472,9
1574600384473,points[2].x.,96,false,1574600384478,5
1574600384480,p2.x.,96,false,1574600384492,12
1574600384493,points[2].x.,96,false,1574600384504,11
1574600384504,p2.x.,96,false,1574600384511,7
1574600384511,points[2].y.,96,false,1574600384522,11
1574600384522,p2.y.,96,false,1574600384532,10
1574600384532,points[2].y.,96,false,1574600384541,9
1574600384541,p2.y.,96,false,1574600384550,9
1574600384550,path.push.,115,false,1574600384579,29
1574600384579,p1.x.,96,false,1574600384590,11
1574600384590,p1.y.,96,false,1574600384597,7
1574600384597,p1.eq.,96,false,1574600384604,7
1574600384604,p1.midPointFrom.,96,false,1574600384610,6
1574600384610,path.push.,115,false,1574600384624,14
1574600384624,p1.x.,96,false,1574600384632,8
1574600384633,p1.y.,96,false,1574600384642,9
1574600384642,midPoint.x.,96,false,1574600384654,12
1574600384655,midPoint.y.,96,false,1574600384664,9
1574600384664,points.length.,115,false,1574600384674,10
1574600384674,p1.x.,96,false,1574600384678,4
1574600384679,points[i - 2].x.,96,false,1574600384685,6
1574600384685,p1.x.,96,false,1574600384694,9
1574600384694,points[i - 2].x.,96,false,1574600384702,8
1574600384702,p1.y.,96,false,1574600384710,8
1574600384711,points[i - 2].y.,96,false,1574600384717,6
1574600384717,p1.y.,96,false,1574600384724,7
1574600384724,points[i - 2].y.,96,false,1574600384729,5
1574600384729,path.push.,115,false,1574600384754,25
1574600384754,p1.x.,96,false,1574600384760,6
1574600384760,p1.y.,96,false,1574600384765,5
1574600384766,fabric.Path.,96,false,1574600384771,5
1574600384771,this.color.,95,false,1574600384777,6
1574600384777,this.width.,96,false,1574600384783,6
1574600384784,this.strokeLineCap.,96,false,1574600384793,9
1574600384793,this.strokeMiterLimit.,96,false,1574600384800,7
1574600384801,this.strokeLineJoin.,96,false,1574600384809,8
1574600384809,this.strokeDashArray.,96,false,1574600384819,10
1574600384819,this.shadow.,96,false,1574600384825,6
1574600384825,this.shadow.affectStroke.,95,false,1574600384830,5
1574600384830,this.shadow.,96,false,1574600384835,5
1574600384835,path.setShadow.,95,false,1574600384840,5
1574600384840,this.shadow.,96,false,1574600384845,5
1574600384845,points.length.,96,false,1574600384850,5
1574600384850,this.canvas.getZoom.,95,false,1574600384858,8
1574600384859,this.canvas.,96,false,1574600384863,4
1574600384864,Math.pow.,121,false,1574600384875,11
1574600384875,points.length.,96,false,1574600384881,6
1574600384882,Math.pow.,121,false,1574600384894,12
1574600384894,lastPoint.x.,96,false,1574600384901,7
1574600384901,points[i].x.,96,false,1574600384909,8
1574600384909,Math.pow.,121,false,1574600384918,9
1574600384918,lastPoint.y.,96,false,1574600384923,5
1574600384923,points[i].y.,96,false,1574600384929,6
1574600384929,newPoints.push.,115,false,1574600384939,10
1574600384940,newPoints.length.,115,false,1574600384948,8
1574600384948,newPoints.push.,115,false,1574600384954,6
1574600384954,fabric.Point.,96,false,1574600384959,5
1574600384959,newPoints[0].x.,96,false,1574600384964,5
1574600384964,newPoints[0].y.,96,false,1574600384970,6
1574600384971,this.canvas.contextTop.,96,false,1574600384976,5
1574600384976,this.canvas.,96,false,1574600384981,5
1574600384981,ctx.closePath.,95,false,1574600384986,5
1574600384987,this.decimate.,96,false,1574600384991,4
1574600384991,this._points.,96,false,1574600384996,5
1574600384996,this.decimatePoints.,96,false,1574600385001,5
1574600385001,this._points.,96,false,1574600385006,5
1574600385006,this.decimate.,96,false,1574600385011,5
1574600385011,this.convertPointsToSVGPath(this._points).join.,95,false,1574600385017,6
1574600385017,this.convertPointsToSVGPath.,96,false,1574600385022,5
1574600385022,this._points.,96,false,1574600385030,8
1574600385030,this.canvas.requestRenderAll.,96,false,1574600385039,9
1574600385039,this.canvas.,96,false,1574600385045,6
1574600385045,this.createPath.,96,false,1574600385051,6
1574600385051,this.canvas.clearContext.,96,false,1574600385056,5
1574600385057,this.canvas.,96,false,1574600385061,4
1574600385061,this.canvas.contextTop.,96,false,1574600385066,5
1574600385067,this.canvas.,96,false,1574600385071,4
1574600385072,this.canvas.add.,95,false,1574600385077,5
1574600385078,this.canvas.,96,false,1574600385082,4
1574600385082,this.canvas.requestRenderAll.,96,false,1574600385087,5
1574600385087,this.canvas.,96,false,1574600385095,8
1574600385095,path.setCoords.,95,false,1574600385103,8
1574600385103,this._resetShadow.,95,false,1574600385110,7
1574600385110,this.canvas.fire.,95,false,1574600385115,5
1574600385144,fabric.SprayBrush.,78,false,1574600385203,59
1574600385203,fabric.util.createClass.,77,false,1574600385208,5
1574600385209,fabric.util.,78,false,1574600385214,5
1574600385214,fabric.BaseBrush.,77,false,1574600385221,7
1574600385221,this.canvas.,78,false,1574600385227,6
1574600385227,this.sprayChunks.,78,false,1574600385233,6
1574600385233,this.sprayChunks.length.,78,false,1574600385237,4
1574600385237,this.sprayChunks.,78,false,1574600385241,4
1574600385241,this.canvas.clearContext.,78,false,1574600385247,6
1574600385247,this.canvas.,78,false,1574600385252,5
1574600385252,this.canvas.contextTop.,78,false,1574600385258,6
1574600385258,this.canvas.,78,false,1574600385263,5
1574600385263,this._setShadow.,77,false,1574600385269,6
1574600385269,this.addSprayChunk.,78,false,1574600385274,5
1574600385274,this.render.,78,false,1574600385280,6
1574600385280,this.sprayChunkPoints.,78,false,1574600385285,5
1574600385285,this.addSprayChunk.,78,false,1574600385295,10
1574600385295,this.render.,78,false,1574600385303,8
1574600385303,this.sprayChunkPoints.,78,false,1574600385308,5
1574600385309,this.canvas.renderOnAddRemove.,78,false,1574600385315,6
1574600385315,this.canvas.,78,false,1574600385319,4
1574600385319,this.canvas.renderOnAddRemove.,78,false,1574600385323,4
1574600385323,this.canvas.,78,false,1574600385327,4
1574600385328,this.sprayChunks.length.,78,false,1574600385334,6
1574600385335,this.sprayChunks.,78,false,1574600385340,5
1574600385340,this.sprayChunks.,78,false,1574600385347,7
1574600385347,sprayChunk.length.,78,false,1574600385354,7
1574600385354,fabric.Rect.,77,false,1574600385359,5
1574600385359,sprayChunk[j].width.,78,false,1574600385364,5
1574600385365,sprayChunk[j].width.,78,false,1574600385371,6
1574600385371,sprayChunk[j].x.,78,false,1574600385377,6
1574600385378,sprayChunk[j].y.,78,false,1574600385383,5
1574600385383,this.color.,78,false,1574600385389,6
1574600385389,rects.push.,98,false,1574600385405,16
1574600385405,this.optimizeOverlapping.,78,false,1574600385409,4
1574600385409,this._getOptimizedRects.,78,false,1574600385413,4
1574600385414,fabric.Group.,77,false,1574600385418,4
1574600385418,this.shadow.,78,false,1574600385422,4
1574600385422,group.setShadow.,77,false,1574600385427,5
1574600385427,this.shadow.,78,false,1574600385431,4
