file,fileStat/total,fileStat/source,fileStat/comment,fileStat/single,fileStat/block,fileStat/mixed,fileStat/empty,fileStat/todo,fileStat/blockEmpty,executionDuration/startTime,executionDuration/endTime,duration
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/canvas_dataurl_exporter.mixin.js,97,48,46,0,46,1,4,0,0,1574690327285,1574690327523,238
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/canvas_events.mixin.js,1088,707,300,46,254,10,91,0,0,1574690331292,1574690331598,306
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/canvas_gestures.mixin.js,167,93,50,0,50,1,25,0,0,1574690335287,1574690335526,239
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/canvas_grouping.mixin.js,172,116,40,8,32,1,17,0,0,1574690339287,1574690339531,244
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/canvas_serialization.mixin.js,247,135,90,8,82,1,23,0,0,1574690343287,1574690343544,257
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/collection.mixin.js,161,72,75,1,74,0,14,0,0,1574690347287,1574690347520,233
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/itext.svg_export.js,241,178,48,4,44,1,16,0,0,1574690351288,1574690351564,276
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/itext_behavior.mixin.js,916,655,181,23,158,3,83,0,0,1574690355289,1574690355539,250
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/itext_click_behavior.mixin.js,253,171,58,8,50,1,25,0,0,1574690359287,1574690359517,230
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/itext_key_behavior.mixin.js,655,423,181,19,162,1,52,0,0,1574690363289,1574690363544,255
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/object.svg_export.js,268,197,55,3,52,1,17,0,0,1574690367287,1574690367533,246
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/object_geometry.mixin.js,660,367,248,35,213,2,47,0,0,1574690371291,1574690371574,283
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/object_interactivity.mixin.js,423,248,124,22,102,1,52,0,0,1574690375288,1574690375539,251
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/object_origin.mixin.js,255,142,81,7,74,1,33,1,0,1574690379287,1574690379531,244
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/object_stacking.mixin.js,80,47,29,0,29,1,5,0,0,1574690383287,1574690383523,236
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/object_straightening.mixin.js,85,47,31,0,31,2,9,0,0,1574690387287,1574690387512,225
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/observable.mixin.js,127,74,44,3,41,0,9,0,0,1574690391284,1574690391535,251
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/shared_methods.mixin.js,114,61,43,0,43,0,10,0,0,1574690395287,1574690395507,220
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/stateful.mixin.js,105,76,22,3,19,1,8,0,0,1574690399287,1574690399523,236
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/text_style.mixin.js,324,194,108,7,101,1,23,0,0,1574690403288,1574690403541,253
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/parser.js,1069,771,185,50,135,5,118,0,0,1574690407291,1574690407572,281
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/pattern.class.js,199,113,64,7,57,1,23,0,0,1574690411288,1574690411557,269
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/point.class.js,337,133,166,0,166,1,40,4,1,1574690415288,1574690415533,245
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shadow.class.js,195,92,78,3,75,1,26,0,0,1574690419287,1574690419527,240
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/active_selection.class.js,158,84,60,0,60,1,15,0,0,1574690423287,1574690423529,242
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/circle.class.js,207,88,93,0,93,1,27,0,0,1574690427288,1574690427531,243
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/ellipse.class.js,181,76,82,0,82,1,24,0,0,1574690431287,1574690431537,250
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/group.class.js,593,342,202,15,187,1,50,0,0,1574690435289,1574690435532,243
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/image.class.js,746,415,268,12,256,1,64,0,0,1574690439289,1574690439532,243
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/itext.class.js,508,240,219,6,213,2,51,0,0,1574690443289,1574690443531,242
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/line.class.js,340,180,125,9,116,5,40,1,0,1574690447288,1574690447547,259
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/object.class.js,2119,941,993,29,964,2,187,1,0,1574690451312,1574690451625,313
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/path.class.js,913,659,198,101,97,51,107,4,0,1574690455290,1574690455558,268
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/polygon.class.js,80,27,43,0,43,1,11,0,0,1574690459286,1574690459502,216
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/polyline.class.js,259,132,99,2,97,1,29,0,0,1574690463287,1574690463524,237
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/rect.class.js,206,93,83,2,81,1,31,0,0,1574690467287,1574690467523,236
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/text.class.js,1447,814,518,26,492,5,120,0,0,1574690471297,1574690471606,309
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/textbox.class.js,458,236,179,13,166,0,43,0,0,1574690475288,1574690475541,253
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/shapes/triangle.class.js,108,49,45,0,45,1,15,0,0,1574690479287,1574690479507,220
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/static_canvas.class.js,1876,930,777,18,759,6,175,2,0,1574690483292,1574690483545,253
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/anim_ease.js,398,237,126,1,125,0,35,0,0,1574690487288,1574690487516,228
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/animate.js,96,62,22,2,20,0,12,1,0,1574690491287,1574690491548,261
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/animate_color.js,50,29,15,3,12,0,6,0,0,1574690495283,1574690495525,242
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/util/arc.js,255,188,39,2,37,0,28,0,0,1574690499287,1574690499538,251
